:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,33322,14015,hsa,repression;indirect effect,#2418:1483,GErel
KEGG_DECREASES_EXPRESSION,30628,18051,hsa,repression,#2429:1447,GErel
KEGG_DECREASES_EXPRESSION,33590,5540,mmu,repression,#2411:5454,GErel
KEGG_DECREASES_EXPRESSION,25588,18153,mmu,repression,#2421:5546,GErel
KEGG_DECREASES_EXPRESSION,39842,13974,mmu,repression;indirect effect,#2428:5580,GErel
KEGG_DECREASES_EXPRESSION,39339,13746,mmu,inhibition;repression,#2439:7336,GErel
KEGG_DECREASES_EXPRESSION,3381,13701,rno,repression,#2424:10416,GErel
KEGG_DECREASES_EXPRESSION,8142,18511,rno,inhibition;repression,#2432:11764,GErel
KEGG_DECREASES_EXPRESSION,25576,20305,rno,repression,#2441:9719,GErel
KEGG_DECREASES_EXPRESSION,44396,23509,hsa,repression;indirect effect,#2411:2721,GErel
KEGG_DECREASES_EXPRESSION,39655,23595,hsa,repression,#2418:1484,GErel
KEGG_DECREASES_EXPRESSION,16835,10078,hsa,repression,#2429:2552,GErel
KEGG_DECREASES_EXPRESSION,7715,18087,mmu,repression,#2411:5546,GErel
KEGG_DECREASES_EXPRESSION,7797,5629,mmu,repression,#2421:5580,GErel
KEGG_DECREASES_EXPRESSION,35109,18044,mmu,repression,#2428:5581,GErel
KEGG_DECREASES_EXPRESSION,16671,13977,mmu,repression,#2440:5545,GErel
KEGG_DECREASES_EXPRESSION,21118,13857,rno,repression,#2424:11559,GErel
KEGG_DECREASES_EXPRESSION,39057,2878,rno,repression,#2432:12158,GErel
KEGG_DECREASES_EXPRESSION,38775,13996,rno,repression;indirect effect,#2441:9755,GErel
KEGG_DECREASES_EXPRESSION,33561,18303,hsa,repression,#2412:1447,GErel
KEGG_DECREASES_EXPRESSION,44060,23509,hsa,inhibition;repression,#2418:2758,GErel
KEGG_DECREASES_EXPRESSION,30628,10028,hsa,repression,#2430:1447,GErel
KEGG_DECREASES_EXPRESSION,32717,5834,mmu,repression,#2411:6143,GErel
KEGG_DECREASES_EXPRESSION,21001,9922,mmu,repression;indirect effect,#2421:5581,GErel
KEGG_DECREASES_EXPRESSION,3399,10099,mmu,repression,#2428:7717,GErel
KEGG_DECREASES_EXPRESSION,39339,10027,mmu,inhibition;repression,#2440:7336,GErel
KEGG_DECREASES_EXPRESSION,42396,23516,rno,repression,#2424:11586,GErel
KEGG_DECREASES_EXPRESSION,43711,13996,rno,repression;indirect effect,#2433:9755,GErel
KEGG_DECREASES_EXPRESSION,16783,20675,rno,repression,#2441:9756,GErel
KEGG_DECREASES_EXPRESSION,29035,14015,hsa,repression;indirect effect,#2412:1484,GErel
KEGG_DECREASES_EXPRESSION,33677,18096,hsa,repression;indirect effect,#2419:1483,GErel
KEGG_DECREASES_EXPRESSION,16835,3213,hsa,repression,#2430:2552,GErel
KEGG_DECREASES_EXPRESSION,44054,14131,mmu,repression,#2411:7219,GErel
KEGG_DECREASES_EXPRESSION,29380,23498,mmu,repression,#2421:5582,GErel
KEGG_DECREASES_EXPRESSION,25588,18343,mmu,repression,#2429:5547,GErel
KEGG_DECREASES_EXPRESSION,36318,18424,mmu,repression,#2440:7386,GErel
KEGG_DECREASES_EXPRESSION,16658,10215,rno,repression,#2425:9719,GErel
KEGG_DECREASES_EXPRESSION,35014,10236,rno,repression,#2433:11633,GErel
KEGG_DECREASES_EXPRESSION,29308,2771,rno,repression,#2441:10342,GErel
KEGG_DECREASES_EXPRESSION,31078,18025,hsa,repression,#2412:2575,GErel
KEGG_DECREASES_EXPRESSION,30785,14050,hsa,repression,#2419:1484,GErel
KEGG_DECREASES_EXPRESSION,30628,10108,hsa,repression,#2431:1447,GErel
KEGG_DECREASES_EXPRESSION,25588,2832,mmu,repression,#2412:5546,GErel
KEGG_DECREASES_EXPRESSION,16671,18153,mmu,repression,#2422:5546,GErel
KEGG_DECREASES_EXPRESSION,30616,9922,mmu,repression;indirect effect,#2429:5580,GErel
KEGG_DECREASES_EXPRESSION,16671,18087,mmu,repression,#2441:5545,GErel
KEGG_DECREASES_EXPRESSION,35047,18111,rno,repression,#2425:10347,GErel
KEGG_DECREASES_EXPRESSION,29285,5871,rno,repression;indirect effect,#2434:9755,GErel
KEGG_DECREASES_EXPRESSION,30628,18032,hsa,repression,#2413:1447,GErel
KEGG_DECREASES_EXPRESSION,16821,20338,hsa,repression,#2420:1250,GErel
KEGG_DECREASES_EXPRESSION,16835,18472,hsa,repression,#2431:2552,GErel
KEGG_DECREASES_EXPRESSION,38594,14131,mmu,repression,#2412:7219,GErel
KEGG_DECREASES_EXPRESSION,7797,10094,mmu,repression,#2422:5580,GErel
KEGG_DECREASES_EXPRESSION,35109,5799,mmu,repression,#2429:5581,GErel
KEGG_DECREASES_EXPRESSION,42893,20337,mmu,repression,#2441:7747,GErel
KEGG_DECREASES_EXPRESSION,21118,5633,rno,repression,#2425:11559,GErel
KEGG_DECREASES_EXPRESSION,42039,20375,rno,repression,#2434:9756,GErel
KEGG_DECREASES_EXPRESSION,36946,18096,hsa,repression;indirect effect,#2413:1484,GErel
KEGG_DECREASES_EXPRESSION,33677,14015,hsa,repression;indirect effect,#2420:1483,GErel
KEGG_DECREASES_EXPRESSION,7681,5616,hsa,repression,#2432:1447,GErel
KEGG_DECREASES_EXPRESSION,16671,2832,mmu,repression,#2413:5546,GErel
KEGG_DECREASES_EXPRESSION,21001,13974,mmu,repression;indirect effect,#2422:5581,GErel
KEGG_DECREASES_EXPRESSION,3399,2949,mmu,repression,#2429:7717,GErel
KEGG_DECREASES_EXPRESSION,16833,5508,rno,repression,#2410:9720,GErel
KEGG_DECREASES_EXPRESSION,42396,18385,rno,repression,#2425:11586,GErel
KEGG_DECREASES_EXPRESSION,37084,10236,rno,repression,#2434:11633,GErel
KEGG_DECREASES_EXPRESSION,42820,10190,hsa,repression,#2413:1851,GErel
KEGG_DECREASES_EXPRESSION,30785,5487,hsa,repression,#2420:1484,GErel
KEGG_DECREASES_EXPRESSION,16835,2976,hsa,repression,#2432:2552,GErel
KEGG_DECREASES_EXPRESSION,37781,14131,mmu,repression,#2413:7219,GErel
KEGG_DECREASES_EXPRESSION,29380,9840,mmu,repression,#2422:5582,GErel
KEGG_DECREASES_EXPRESSION,25588,13932,mmu,repression,#2430:5546,GErel
KEGG_DECREASES_EXPRESSION,16833,23643,rno,repression,#2411:9720,GErel
KEGG_DECREASES_EXPRESSION,25576,10215,rno,repression,#2426:9719,GErel
KEGG_DECREASES_EXPRESSION,29285,13996,rno,repression;indirect effect,#2435:9755,GErel
KEGG_DECREASES_EXPRESSION,31078,13905,hsa,repression,#2413:2575,GErel
KEGG_DECREASES_EXPRESSION,11206,5636,hsa,repression,#2421:1248,GErel
KEGG_DECREASES_EXPRESSION,7681,20676,hsa,repression,#2433:1447,GErel
KEGG_DECREASES_EXPRESSION,25611,18295,mmu,repression,#2414:5342,GErel
KEGG_DECREASES_EXPRESSION,34558,13889,mmu,repression,#2422:5779,GErel
KEGG_DECREASES_EXPRESSION,30616,13974,mmu,repression;indirect effect,#2430:5580,GErel
KEGG_DECREASES_EXPRESSION,29308,9873,rno,repression,#2411:10349,GErel
