:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
26649,Composite,"composite(p(RGD:""Ehhadh""),p(RGD:""Hadh""),p(RGD:""Hsd17b10""))",Hsd17b10;Ehhadh;Hadh,,10116.0
26650,Composite,"composite(p(HGNC:""BATF""),p(HGNC:""BATF2""),p(HGNC:""BATF3""))",BATF2;BATF3;BATF,,9606.0
26651,Composite,"composite(p(RGD:""Cnr1""),p(RGD:""Drd2""))",Cnr1;Drd2,,10116.0
26652,Composite,"composite(p(FLYBASE:""LanA""),p(FLYBASE:""LanB1""),p(FLYBASE:""LanB2""),p(FLYBASE:""wb""))",LanB1;LanB2;wb;LanA,,7227.0
26653,Composite,"composite(p(HGNC:""MAP3K14""),p(HGNC:""NLRP12""))",NLRP12;MAP3K14,,9606.0
26654,Composite,"composite(p(MGI:""Pygb""),p(MGI:""Pygl""),p(MGI:""Pygm""))",Pygb;Pygl;Pygm,,10090.0
26655,Composite,"composite(p(HGNC:""CCNB1""),p(HGNC:""CCNB2""),p(HGNC:""CCNB3""))",CCNB3;CCNB2;CCNB1,,9606.0
26656,Composite,"composite(p(MGI:""Adcy6""),p(MGI:""Adcy9""))",Adcy9;Adcy6,,10090.0
26657,Composite,"composite(p(HGNC:""C1QA""),p(HGNC:""C1QB""),p(HGNC:""C1QC""),p(HGNC:""C1R""),p(HGNC:""C1S""))",C1QB;C1QA;C1S;C1R;C1QC,,9606.0
26658,Composite,"composite(p(MGI:""Ackr4""),p(MGI:""Ccr9""))",Ccr9;Ackr4,,10090.0
26659,Composite,"composite(p(MGI:""Ppt1""),p(MGI:""Ppt2""))",Ppt2;Ppt1,,10090.0
26660,Composite,"composite(p(HGNC:""FOS""),p(HGNC:""FOSB""),p(HGNC:""FOSL1""),p(HGNC:""JUN""),p(HGNC:""JUND""))",FOSL1;JUN;JUND;FOSB;FOS,,9606.0
26661,Composite,"composite(p(HGNC:""CSH1""),p(HGNC:""CSH2""),p(HGNC:""GH1""),p(HGNC:""GH2""))",GH2;GH1;CSH2;CSH1,,9606.0
26662,Composite,"composite(p(HGNC:""LYPLA1""),p(HGNC:""PLA2G15""),p(HGNC:""PLB1""),p(HGNC:""PNPLA6""),p(HGNC:""PNPLA7""))",PLA2G15;LYPLA1;PNPLA7;PNPLA6;PLB1,,9606.0
26663,Composite,"composite(p(HGNC:""APOE""),p(HGNC:""GSTP1""))",GSTP1;APOE,,9606.0
26664,Composite,"composite(p(MGI:""Acvr1b""),p(MGI:""Acvr1c""))",Acvr1c;Acvr1b,,10090.0
26665,Composite,"composite(a(PUBCHEM:""59557""),a(PUBCHEM:""9832404""))",,9832404;59557,
26666,Composite,"composite(p(HGNC:""SOD1""),p(HGNC:""SOD2""))",SOD2;SOD1,,9606.0
26667,Composite,"composite(p(HGNC:""EIF2A"",pmod(Ph)),p(HGNC:""SNCA"",var(""p.Ala53Thr"")))",EIF2A;SNCA,,9606.0
26668,Composite,"composite(p(HGNC:""FOXO1""),p(HGNC:""FOXO3""))",FOXO3;FOXO1,,9606.0
26669,Composite,"composite(p(RGD:""Cp""),p(RGD:""Fxn""),p(RGD:""Heph""))",Heph;Cp;Fxn,,10116.0
26670,Composite,"composite(p(HGNC:""AADAT""),p(HGNC:""KYAT1""),p(HGNC:""KYAT3""))",AADAT;KYAT3;KYAT1,,9606.0
26671,Composite,"composite(a(CHEBI:""dioxygen""),p(HGNC:""HIF1AN""))",HIF1AN,dioxygen,9606.0
26672,Composite,"composite(p(HGNC:""ERBB2""),p(HGNC:""ERBB3""),p(HGNC:""ERBB4""))",ERBB3;ERBB4;ERBB2,,9606.0
26673,Composite,"composite(p(HGNC:""DHH""),p(HGNC:""IHH""),p(HGNC:""SHH""))",SHH;DHH;IHH,,9606.0
26674,Composite,"composite(p(HGNCGENEFAMILY:""Argonaute/PIWI family""),p(MESH:""MicroRNAs""))",MicroRNAs;Argonaute/PIWI family,,
26675,Composite,"composite(p(MGI:""Amot""),p(MGI:""Amotl1""),p(MGI:""Amotl2""))",Amotl2;Amotl1;Amot,,10090.0
26676,Composite,"composite(p(HGNC:""COL1A1""),p(HGNC:""COL1A2""),p(HGNC:""COL3A1""))",COL1A1;COL3A1;COL1A2,,9606.0
26677,Composite,"composite(p(MGI:""Plxna1""),p(MGI:""Plxna2""),p(MGI:""Plxna3""),p(MGI:""Plxna4""))",Plxna4;Plxna3;Plxna2;Plxna1,,10090.0
26678,Composite,"composite(p(RGD:""Actb""),p(RGD:""Actg1""),p(RGD:""LOC100361457""),p(RGD:""Potef""))",LOC100361457;Potef;Actg1;Actb,,10116.0
26679,Composite,"composite(p(FPLX:""HSP90""),p(FPLX:""HSPA""),p(HGNC:""BAG1""),p(HGNC:""BAG3""),p(HGNC:""STUB1""))",HSP90;BAG3;BAG1;STUB1;HSPA,,
26680,Composite,"composite(p(HGNC:""RBCK1""),p(HGNC:""RNF31""),p(HGNC:""SHARPIN""))",RNF31;SHARPIN;RBCK1,,9606.0
26681,Composite,"composite(a(CHEBI:""5-hydroxyindole""),a(CHEBI:""acetylcholine""))",,5-hydroxyindole;acetylcholine,
26682,Composite,"composite(p(RGD:""Plcb1""),p(RGD:""Plcb2""),p(RGD:""Plcb3""),p(RGD:""Plcb4""))",Plcb4;Plcb3;Plcb2;Plcb1,,10116.0
26683,Composite,"composite(p(HGNC:""CHRNA4""),p(HGNC:""CHRNA5""),p(HGNC:""CHRNB2""))",CHRNB2;CHRNA5;CHRNA4,,9606.0
26684,Composite,"composite(p(MGI:""Gucy2d""),p(MGI:""Gucy2e""),p(MGI:""Gucy2f""))",Gucy2e;Gucy2d;Gucy2f,,10090.0
26685,Composite,"composite(p(RGD:""Ccnd1""),p(RGD:""Ccnd2""),p(RGD:""Ccne1""),p(RGD:""Ccne2""))",Ccnd2;Ccne1;Ccnd1;Ccne2,,10116.0
26686,Composite,"composite(a(CHEBI:""thapsigargin""),p(CONSO:""CONSO00053""))",CONSO00053,thapsigargin,
26687,Composite,"composite(p(RGD:""Fbp1""),p(RGD:""Fbp2""))",Fbp1;Fbp2,,10116.0
26688,Composite,"composite(p(HGNC:""NMUR1""),p(HGNC:""NMUR2""))",NMUR2;NMUR1,,9606.0
26689,Composite,"composite(p(RGD:""Nrxn1""),p(RGD:""Nrxn2""),p(RGD:""Nrxn3""))",Nrxn1;Nrxn2;Nrxn3,,10116.0
26690,Composite,"composite(p(CONSO:""Tau C3""),p(HGNC:""STUB1""))",STUB1;Tau C3,,
26691,Composite,"composite(p(MGI:""Gab1""),p(MGI:""Gab2""))",Gab1;Gab2,,10090.0
