:ID,:LABEL,namespace:string,pure:boolean,involved_other:string,bel:string,name:string
3334,MicroRna,MIRBASE,,hsa-mir-146a,"m(MIRBASE:""hsa-mir-146a"",loc(BTO:""0000271""))",hsa-mir-146a
3335,MicroRna,MIRBASE,,hsa-mir-22,"m(MIRBASE:""hsa-mir-22"",loc(MESH:""Plasma""))",hsa-mir-22
3336,MicroRna,MIRBASE,False,hsa-mir-22,"m(MIRBASE:""hsa-mir-22"")",hsa-mir-22
3337,MicroRna,MIRBASE,,hsa-mir-223,"m(MIRBASE:""hsa-mir-223"",loc(MESH:""T-Lymphocytes""))",hsa-mir-223
3338,MicroRna,HGNC,False,MIR106B,"m(HGNC:""MIR106B"")",MIR106B
3339,MicroRna,MIRBASE,False,hsa-mir-214,"m(MIRBASE:""hsa-mir-214"")",hsa-mir-214
3340,MicroRna,HGNC,False,MIR125B2,"m(HGNC:""MIR125B2"")",MIR125B2
3341,MicroRna,MIRBASE,False,hsa-mir-495,"m(MIRBASE:""hsa-mir-495"")",hsa-mir-495
3342,MicroRna,MIRBASE,False,hsa-mir-20a,"m(MIRBASE:""hsa-mir-20a"")",hsa-mir-20a
3343,MicroRna,MIRBASE,False,hsa-mir-7-1,"m(MIRBASE:""hsa-mir-7-1"")",hsa-mir-7-1
3344,MicroRna,MIRBASE,False,hsa-mir-125b-1,"m(MIRBASE:""hsa-mir-125b-1"")",hsa-mir-125b-1
3345,MicroRna,HGNC,False,MIR101-1,"m(HGNC:""MIR101-1"")",MIR101-1
3346,MicroRna,MIRBASE,False,hsa-mir-9-1,"m(MIRBASE:""hsa-mir-9-1"")",hsa-mir-9-1
3347,MicroRna,MIRBASE,,hsa-mir-22,"m(MIRBASE:""hsa-mir-22"",loc(GO:""blood microparticle""))",hsa-mir-22
3348,MicroRna,MIRBASE,,hsa-mir-9-1,"m(MIRBASE:""hsa-mir-9-1"",loc(MESH:""Plasma""))",hsa-mir-9-1
3349,MicroRna,HGNC,False,MIR451A,"m(HGNC:""MIR451A"")",MIR451A
3350,MicroRna,HGNC,False,MIR107,"m(HGNC:""MIR107"")",MIR107
3351,MicroRna,HGNC,False,MIR103B2,"m(HGNC:""MIR103B2"")",MIR103B2
3352,MicroRna,MIRBASE,,hsa-mir-17,"m(MIRBASE:""hsa-mir-17"",loc(MESH:""Peripheral Blood Stem Cells""))",hsa-mir-17
3353,MicroRna,MIRBASE,False,hsa-mir-223,"m(MIRBASE:""hsa-mir-223"")",hsa-mir-223
3354,MicroRna,HGNC,False,MIR328,"m(HGNC:""MIR328"")",MIR328
3355,MicroRna,MIRBASE,False,hsa-mir-371a,"m(MIRBASE:""hsa-mir-371a"")",hsa-mir-371a
3356,MicroRna,MIRBASE,False,hsa-mir-146a,"m(MIRBASE:""hsa-mir-146a"")",hsa-mir-146a
3357,MicroRna,MIRBASE,,hsa-mir-146a,"m(MIRBASE:""hsa-mir-146a"",loc(MESH:""T-Lymphocytes""))",hsa-mir-146a
3358,MicroRna,HGNC,False,MIR106A,"m(HGNC:""MIR106A"")",MIR106A
3359,MicroRna,HGNC,False,MIR125B1,"m(HGNC:""MIR125B1"")",MIR125B1
